,tconst,averageRating,numVotes
446295,tt10026108,7.0,51
446298,tt10026172,7.6,257
446326,tt10026686,7.8,72
446331,tt10026730,6.9,99
446333,tt10026772,9.3,6
446387,tt10027696,6.5,130
446388,tt10027708,6.7,17
446389,tt10027720,5.1,48
446427,tt10028030,4.8,6
446439,tt10028196,5.5,174512
446512,tt10028812,6.9,107
446607,tt10030150,4.8,27
446735,tt10032266,6.7,633
446741,tt10032342,7.7,788
446760,tt10032574,6.3,186
446813,tt10033686,3.3,95
446821,tt10033852,8.3,18
446824,tt10033904,7.4,5
446825,tt10033908,5.8,30
446832,tt10033964,6.6,14
446845,tt10034168,8.3,35
446849,tt10034236,7.4,29
446853,tt10034256,5.7,6
446857,tt10034272,7.9,545
446897,tt10035012,4.9,17
446909,tt10035194,6.3,172
446918,tt10035478,6.4,351
446963,tt10036378,7.0,6
446976,tt10036868,8.9,15
446990,tt10037014,5.9,8344
447018,tt10037542,6.2,36
447026,tt10037700,7.5,166
447030,tt10037872,6.5,17
447031,tt10037934,5.3,207
447036,tt10038028,3.1,55
447039,tt10038128,9.5,8
447059,tt10038660,6.3,88
447067,tt10038826,5.8,10
447069,tt10038830,8.4,39
447077,tt10039014,5.8,13
447081,tt10039338,7.1,65
447082,tt10039344,5.4,40230
447083,tt10039354,5.2,160
447084,tt10039364,6.5,77
447089,tt10039468,6.6,492
447090,tt10039472,8.9,10
447092,tt10039524,5.2,762
447098,tt10039642,7.2,480
447114,tt10040610,6.8,16
447130,tt10040978,3.2,215
447151,tt10041438,6.5,40
447162,tt10041952,7.3,105
447166,tt10041978,8.3,7
447218,tt10042590,5.9,871
447221,tt10042622,6.0,112
447246,tt10042788,5.3,340
447249,tt10042868,9.1,137
447266,tt10043458,7.1,17
447268,tt10043660,4.3,1104
447275,tt10043732,5.9,37
447277,tt10043742,6.0,44
447280,tt10043746,7.1,55
447283,tt10043770,7.6,114
447289,tt10043990,5.6,16
447290,tt10044000,5.6,36
447291,tt10044040,4.8,174
447294,tt10044182,5.5,325
447295,tt10044220,7.3,310
447309,tt10044704,6.2,192
447329,tt10044934,7.8,15
447330,tt10044946,6.2,24
447344,tt10045002,6.6,578
447345,tt10045014,5.4,10
447348,tt10045072,7.8,246
447350,tt10045134,4.8,9
447351,tt10045136,7.1,106
447359,tt10045434,6.9,2222
447367,tt10045688,4.7,22
447378,tt10046208,6.3,32
447380,tt10046236,3.9,537
447383,tt10046522,6.0,36
447390,tt10046694,6.1,223
447396,tt10047128,6.2,5
447404,tt10047356,5.2,14
447419,tt10047904,7.1,625
447422,tt10047958,3.4,4588
447427,tt10048128,8.8,41
447431,tt10048376,4.5,21
447441,tt10048556,3.6,328
447470,tt10049110,7.8,92
447476,tt10049238,7.1,39
447477,tt10049262,5.3,154
447494,tt10049768,6.8,9
447496,tt10049848,3.0,362
447499,tt10050098,6.8,10
447501,tt10050274,5.8,29
447530,tt10050608,6.5,12
447535,tt10050722,7.0,20
447540,tt10050766,7.7,1669
447544,tt10050782,7.1,1418
447546,tt10050816,6.6,18
447555,tt10051000,5.4,21
447557,tt10051088,6.9,286
447560,tt10051320,5.1,225
447564,tt10051586,2.7,430
447572,tt10052156,5.8,86
447575,tt10052290,6.4,198
447582,tt10052928,4.9,145
447585,tt10053058,5.7,15
447586,tt10053426,3.1,164
447602,tt10054316,4.4,2303
447614,tt10054544,8.4,45
447617,tt10054604,3.5,29
447628,tt10054778,6.5,80
447630,tt10054876,6.7,585
447633,tt10054940,5.8,106
447635,tt10054946,6.8,769
447636,tt10054952,7.8,7
447641,tt10055028,7.4,1162
447657,tt10055546,5.3,1001
447682,tt10055770,7.1,1806
447683,tt10055774,4.9,13
447701,tt10056028,5.8,12
447715,tt10056224,5.3,574
447718,tt10056322,6.1,73
447720,tt10056488,7.6,9
447724,tt10056510,4.9,207
447753,tt10058356,6.8,16
447758,tt10058396,4.7,8
447781,tt10058892,7.8,40
447806,tt10059236,4.9,303
447807,tt10059252,7.2,25
447808,tt10059254,7.1,8
447821,tt10059414,6.1,13
447824,tt10059440,8.3,9
447827,tt10059518,6.0,70478
447832,tt10059624,6.3,52
447857,tt10060094,5.6,19053
447886,tt10060386,4.8,82
447890,tt10060772,8.8,70
447894,tt10061256,4.4,509
447908,tt10061452,5.9,23
447911,tt10061464,3.4,78
447967,tt10062150,8.1,147
447974,tt10062286,5.9,31
447982,tt10062338,5.4,1019
447984,tt10062474,7.4,21
447992,tt10062556,4.3,24631
447996,tt10062614,5.4,4554
448000,tt10062628,6.2,166
448001,tt10062634,5.7,116
448008,tt10062650,5.5,72
448012,tt10062704,6.4,22
448027,tt10063028,8.0,10
448048,tt10063580,5.8,172
448056,tt10063934,6.1,13
448066,tt10064134,4.7,51
448077,tt10064270,6.2,51
448082,tt10064354,7.9,20
448085,tt10064448,7.3,244
448093,tt10064562,6.0,13
448097,tt10064728,7.2,11
448104,tt10064828,8.3,25
448121,tt10064948,4.6,12
448169,tt10065694,5.8,27949
448171,tt10065750,5.8,26
448177,tt10065976,5.9,561
448183,tt10066040,6.4,384
448189,tt10066162,6.2,319
448190,tt10066262,7.9,9
448194,tt10066432,4.3,480
448199,tt10066526,7.1,167
448230,tt10066756,7.1,232
448232,tt10066808,7.1,34
448256,tt10068158,7.4,726
448258,tt10068184,6.6,8
448280,tt10068544,7.8,854
448289,tt10068716,7.3,33
448300,tt10068916,8.0,4335
448326,tt10069166,4.0,1634
448353,tt10069476,3.4,113
448374,tt10069842,5.4,5
448407,tt10070730,5.2,149
448431,tt10071352,6.8,203
448438,tt10071462,3.4,44
448443,tt10071594,7.8,64
448445,tt10071606,9.2,92
448451,tt10071862,2.4,86
448474,tt10072662,5.5,468
448494,tt10072948,5.3,14
448496,tt10073008,7.1,44
448497,tt10073018,6.0,7
448507,tt10073452,7.1,237
448512,tt10073510,8.9,10
448603,tt10074426,7.0,32
448604,tt10074458,8.7,10
448605,tt10074486,5.9,115
448607,tt10074536,6.0,67
448608,tt10074544,7.5,9
448633,tt10075070,6.1,66
448634,tt10075078,7.4,20
448640,tt10075374,7.0,6
448641,tt10075380,6.2,171
448649,tt10075442,6.8,207
448657,tt10075536,6.1,168
448658,tt10075604,5.3,44
448659,tt10075650,4.9,169
448661,tt10075732,8.2,12
448665,tt10075830,5.5,149
448675,tt10075944,4.7,10
448688,tt10076106,4.8,756
448692,tt10076440,7.3,10
448697,tt10076722,5.2,206
448708,tt10077034,4.2,2813
448709,tt10077042,6.7,11
448711,tt10077090,6.8,8
448712,tt10077134,6.0,7
448717,tt10077544,6.4,1778
448722,tt10077706,5.5,68
448725,tt10077856,9.4,6
448728,tt10077998,6.5,1313
448732,tt10078132,6.4,13
448734,tt10078138,6.2,13
448741,tt10078206,1.2,17
448743,tt10078290,6.8,113
448744,tt10078450,6.8,10
448751,tt10078502,7.2,372
448752,tt10078532,7.1,16
448758,tt10078664,4.9,62
448759,tt10078676,5.4,5
448760,tt10078696,7.8,5
448764,tt10078764,4.7,20
448767,tt10078834,7.1,12
448771,tt10078844,5.8,6
448775,tt10078894,2.8,97
448776,tt10078900,5.9,10
448777,tt10078904,1.5,372
448781,tt10079028,3.4,19
448811,tt10079398,6.2,7
448814,tt10079448,8.2,27
448832,tt10079698,5.0,114
448861,tt10080052,6.8,27
448864,tt10080086,4.8,54
448865,tt10080092,4.7,136
448882,tt10080270,5.9,1115
448921,tt10080834,5.0,11
448936,tt10080924,7.2,919
448938,tt10080996,6.2,176
448942,tt10081086,5.4,9
448944,tt10081104,5.5,61
448946,tt10081116,5.5,880
448947,tt10081120,6.6,10
448948,tt10081154,5.1,16
448949,tt10081166,5.4,7
448950,tt10081172,6.5,47
448954,tt10081202,7.1,431
448957,tt10081210,3.6,121
448960,tt10081238,4.5,21
448962,tt10081402,2.1,245
448963,tt10081428,8.6,5
448969,tt10081546,8.5,10
448975,tt10081596,4.1,251
448999,tt10081728,6.0,47
449003,tt10081762,6.2,4934
449016,tt10081788,5.1,24
449035,tt10082356,7.3,21
449082,tt10083048,7.2,54
449084,tt10083174,4.3,5082
449087,tt10083340,7.8,56834
449092,tt10083640,7.0,26839
449104,tt10083986,7.6,44
449108,tt10084190,6.1,2373
449114,tt10084358,7.2,9
449123,tt10084394,5.6,11
449154,tt10084614,7.6,11
449159,tt10084688,6.0,121
449164,tt10084752,7.9,41
449165,tt10084780,6.2,108
449166,tt10084788,7.0,11
449198,tt10085296,5.8,48
449203,tt10085338,5.7,1673
449219,tt10085648,5.8,108
449223,tt10085844,7.2,6
449249,tt10086502,5.7,257
449255,tt10086648,5.2,30
449261,tt10086692,7.3,86
449265,tt10086784,7.3,105
449270,tt10086808,7.8,71
449274,tt10086834,6.6,194
449276,tt10086906,4.2,35
449279,tt10086930,7.2,55
449291,tt10087134,4.6,755
449333,tt10087396,6.8,12
449335,tt10087448,5.9,84
449359,tt10087628,6.6,40
449400,tt10087946,6.1,23
449409,tt10088006,6.8,79
449435,tt10088984,6.9,1517
449440,tt10089152,6.9,14
449454,tt10089828,5.0,10
449464,tt10089942,7.6,8
449471,tt10090058,5.4,689
449533,tt10090744,7.3,88
449554,tt10091268,6.5,83
449564,tt10091380,5.2,69
449582,tt10091530,4.9,2965
449588,tt10091630,5.3,24
449594,tt10091696,4.3,787
449609,tt10091972,8.1,21
449622,tt10092508,5.4,12
449634,tt10092736,5.6,49
449635,tt10092752,5.2,2697
449637,tt10092770,5.5,173
449641,tt10092860,7.3,79
449646,tt10093120,7.5,70
449649,tt10093594,7.2,12
449722,tt10095262,7.3,12
449723,tt10095266,7.9,679
449725,tt10095276,5.9,66
449729,tt10095308,6.2,570
449731,tt10095328,7.8,11
449732,tt10095336,6.8,1596
449742,tt10095498,8.4,8
449747,tt10095582,7.1,35475
449772,tt10096114,8.4,29
449778,tt10096218,7.8,6
449786,tt10096424,4.9,370
449801,tt10096842,4.7,6384
449802,tt10096850,5.2,6
449810,tt10097056,7.0,7
449811,tt10097086,7.8,104
449818,tt10097312,5.6,119
449819,tt10097346,6.6,13
449820,tt10097362,3.9,255
449821,tt10097364,6.3,359
449822,tt10097384,5.4,377
449825,tt10097436,6.9,442
449826,tt10097458,6.5,13
449827,tt10097470,8.6,35
449828,tt10097484,5.1,467
449829,tt10097530,5.4,86
449830,tt10097544,5.8,1752
449839,tt10097752,6.7,14
449841,tt10097816,6.1,50
449842,tt10097832,6.0,42
449848,tt10097954,8.3,8
449849,tt10097958,5.1,134
449851,tt10097970,7.8,16
449863,tt10098042,5.9,8
449864,tt10098048,8.2,14
449866,tt10098060,8.0,9
449869,tt10098112,7.5,40
449871,tt10098134,8.5,8
449885,tt10098288,4.3,10434
449888,tt10098374,3.9,36
449889,tt10098398,7.9,19
449893,tt10098442,6.4,66
449894,tt10098452,6.5,423
449897,tt10098472,7.3,49
449899,tt10098494,6.0,354
449964,tt10100196,7.9,14
449973,tt10100324,7.7,7
449987,tt10100506,5.7,121
450001,tt10100620,5.3,209
450004,tt10100664,6.3,140
450005,tt10100678,5.7,57
450015,tt10100842,7.0,49
450023,tt10100966,7.3,106
450045,tt10101054,4.8,122
450064,tt10101166,6.6,9
450077,tt10101246,7.2,349
450094,tt10101342,8.3,8
450144,tt10101666,7.9,32
450147,tt10101702,6.8,3990
450150,tt10101734,9.0,11
450152,tt10101782,6.0,65
450154,tt10101806,6.2,212
450155,tt10101810,8.7,16
450159,tt10101846,6.5,409
450188,tt10102080,6.4,79
450190,tt10102164,6.7,18
450191,tt10102174,9.2,6
450192,tt10102192,4.9,78
450198,tt10102250,6.4,7
450200,tt10102296,9.0,18
